B1200,B2000,B6000,B6300,B6700,B6800,B6900,FH,SLQ12200,SLQ6000
6.860141041719107,6.544499572631363,6.501159671049022,4.684042801076588,6.398592255294829,8.463667607528361,5.264010043699955,7.267357903616123,4.759246596249012,8.349507198684007
7.849583944182672,8.047550000026341,8.034764314607765,6.303743988593589,6.575255928453602,9.72832919529157,5.333891015440514,7.652188012001066,5.090816025906733,8.29084473913391
5.667517403134688,6.2164642174814855,6.741943411736828,5.225683329089835,5.097640437156884,7.026432362392022,4.509642446519282,5.659433513099837,4.384721025078497,6.577485198820377
6.328196407270299,7.004527339158169,6.179628954199689,5.520298911158678,5.638998809468511,7.8293058517991865,4.770742510028623,6.558413898720151,4.782641422866176,7.240430511359702
8.072813816904539,9.052468965182273,7.417940957209874,6.547739551757731,7.547225696475438,10.0,5.428872132293979,9.246697123822159,5.033853069936357,8.211323164372912
6.64755606016309,7.534205631664683,7.17206356539124,5.577256114404684,6.370349548531665,9.218421309958439,5.066146863293194,7.277234111883613,5.573474029711641,7.095982108407341
7.699858409860427,8.239861557373427,7.618870721441643,6.81841415044037,7.028949452528814,8.596643233784631,6.52365780969148,8.55360013028785,4.572839947687049,8.15533170482933
8.235237239471001,9.09203156530355,8.762435913381431,7.184084174166194,7.755991961902668,10.0,6.27958577730445,8.300747845976389,5.852376672591827,8.212370553318019
5.5785783830230296,6.721999708167171,4.80593739227968,3.6839817322835633,4.823242772877504,7.017248147782688,3.9343435910021323,5.4598832219685125,3.109876713689701,6.036932835462939
7.806064404478411,7.626189412664612,8.088458385674189,6.128603575774487,8.03481692559575,8.78430837028995,5.571935019589018,7.743022211568259,5.850716413726972,8.351384382289393
7.361376399450398,8.695602334320714,8.470696813520624,7.0655660328807395,8.675866664798788,9.207701177126605,6.083438332394595,8.112171884441304,6.876167096220679,8.518559198318089
7.904921026557569,8.36712571552421,7.035939550924206,6.185061258830397,7.507399729103122,10.0,5.804232106164537,8.971844542368208,5.637415772492845,8.055291828300385
8.114380961227129,8.373856560790715,8.573825255920848,6.1888458459596585,7.158529699464416,8.752409692391703,5.954179190245274,8.125374772219038,5.994626200188198,8.628718091645615
6.925359111492218,6.465553034394329,6.560483652074981,4.485554438951615,5.892894780252994,7.7848552511963565,5.630760988824423,6.684180864500334,5.646520644351441,7.139878082009169
10.0,8.381941087357127,9.295037542798019,7.6052964691869684,8.812958432181603,10.0,6.422594692578086,9.495998675758504,6.679675224204908,9.239023461475144
